"_id","name","org_count"
"480","АВАРИЙНЫЕ СЛУЖБЫ ","0"
"490","АВИАКОМПАНИИ ","0"
"500","АВТОЗАПРАВОЧНЫЕ СТАНЦИИ","2"
"510","АВТОЗАПЧАСТИ И ПРИНАДЛЕЖНОСТИ – ПРОДАЖА ","68"
"520","АВТОМАСЛА, АВТОКРАСКИ – ПРОДАЖА ","33"
"540","АВТОМАТИКА ДЛЯ ВОРОТ – УСТАНОВКА","18"
"560","АВТОМОБИЛИ – ГАЗОБАЛОННОЕ ОБОРУДОВАНИЕ, ПРОДАЖА, УСТАНОВКА","0"
"570","АВТОМОБИЛИ – МОЙКА","5"
"580","АВТОМОБИЛИ – ПРОДАЖА ","11"
"600","АВТОМОБИЛИ СПЕЦИАЛИЗИРОВАННЫЕ","3"
"610","АВТОСЕРВИС – ДИАГНОСТИКА, РЕМОНТ, ПОКРАСКА","21"
"611","АВТОСЕРВИС – КОЛЕСА, ДИСКИ, ШИНОМОНТАЖ ","7"
"612","АВТОСЕРВИС – СИГНАЛИЗАЦИЯ И ЭЛЕКТРОННОЕ ОБОРУДОВАНИЕ","12"
"613","АВТОСЕРВИС – ТОНИРОВКА","1"
"620","АВТОСТОЯНКИ","1"
"630","АВТОТРАНСПОРТ – ГРУЗОВЫЕ ПЕРЕВОЗКИ","2"
"640","АВТОТРАНСПОРТ – ПАССАЖИРСКИЕ ПЕРЕВОЗКИ","1"
"660","АВТОШИНЫ – ПРОДАЖА","9"
"670","АВТОШКОЛЫ ","0"
"690","АГРОХИМИЯ","0"
"699","АЛКОГОЛЬ – ПРОИЗВОДСТВО","1"
"700","АЛКОГОЛЬНЫЕ НАПИТКИ – ПРОДАЖА","15"
"710","АМБУЛАТОРИИ, ЗДРАВПУНКТЫ, МЕДПУНКТЫ","0"
"720","АНТЕННЫ – ТЕЛЕВИЗИОННЫЕ, СПУТНИКОВЫЕ","18"
"740","АПТЕКИ ","191"
"750","АСФАЛЬТ – ПРОИЗВОДСТВО, ПРОДАЖА","0"
"760","АТЕЛЬЕ – ПОШИВ ТЕАТРАЛЬНЫХ КОСТЮМОВ","1"
"770","АТЕЛЬЕ ПОШИВА, РЕМОНТА","13"
"790","АТЕЛЬЕ ПОШИВА, РЕМОНТА – КОЖАНЫЕ И МЕХОВЫЕ ИЗДЕЛИЯ","1"
"800","АТЕЛЬЕ ПОШИВА, РЕМОНТА – НАЦИОНАЛЬНАЯ ОДЕЖДА","8"
"810","АУДИО-, ВИДЕОАППАРАТУРА – ОБСЛУЖИВАНИЕ, РЕМОНТ","2"
"830","АУДИО-, ВИДЕОКАССЕТЫ, КОМПАКТ-ДИСКИ, DVD – ПРОДАЖА","21"
"840","АУДИТОРСКИЕ И БУХГАЛТЕРСКИЕ УСЛУГИ","1"
"850","БАГЕТ – ПРОДАЖА","5"
"860","БАНИ И САУНЫ","4"
"870","БАНИ, САУНЫ, КАМИНЫ, ПЕЧИ – ПРОДАЖА И МОНТАЖ ОБОРУДОВАНИЯ","7"
"890","БАНКИ ","0"
"900","БАНКИ – ПУНКТЫ ОБМЕНА ВАЛЮТЫ","0"
"920","БАССЕЙНЫ, ФОНТАНЫ – СТРОИТЕЛЬСТВО","7"
"930","БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ – ПРОИЗВОДСТВО, ОПТОВАЯ ПРОДАЖА","4"
"940","БЕЛЬЕ – ПРОДАЖА ","95"
"960","БЕТОН – ПРОИЗВОДСТВО, ПРОДАЖА","6"
"970","БИБЛИОТЕКИ","0"
"980","БИЖУТЕРИЯ, ГАЛАНТЕРЕЯ, КОЖГАЛАНТЕРЕЯ – ПРОДАЖА","215"
"1000","БИЛЕТЫ  АВИА-,  Ж/Д ТРАНСПОРТ – ПРОДАЖА, ЗАКАЗ ","9"
"1010","БИЛЬЯРД","1"
"1030","БОЛЬНИЦЫ ","0"
"1060","БУКМЕКЕРЫ","0"
"1070","БУМАГА, КАРТОН – ПРОДАЖА, ПРОИЗВОДСТВО","0"
"1080","БУХГАЛТЕРСКИЕ ПРОГРАММЫ","0"
"1090","БЫТОВАЯ ТЕХНИКА – ПРОДАЖА ","26"
"1100","БЫТОВАЯ ТЕХНИКА – РЕМОНТ","0"
"1110","БЫТОВАЯ ХИМИЯ – ПРОДАЖА ","114"
"1120","БЫТОВЫЕ УСЛУГИ ","5"
"1130","БЮРО ТЕХНИЧЕСКОЙ ИНВЕНТАРИЗАЦИИ","0"
"1150","ВЕНТИЛЯЦИОННЫЕ СИСТЕМЫ – ИЗГОТОВЛЕНИЕ, МОНТАЖ, РЕМОНТ","13"
"1170","ВЕТЕРИНАРНЫЕ КЛИНИКИ, СТАНЦИИ, УЧАСТКИ","6"
"1240","ВИТРАЖИ – ИЗГОТОВЛЕНИЕ","9"
"1250","ВОДА МИНЕРАЛЬНАЯ, ПИТЬЕВАЯ – ПРОИЗВОДСТВО, ОПТОВАЯ ПРОДАЖА","4"
"1260","ВОДОСНАБЖЕНИЕ И КАНАЛИЗАЦИЯ","5"
"1280","ВОЕННАЯ ФОРМА, СПЕЦОДЕЖДА И ФУРНИТУРА – ПОШИВ, ПРОДАЖА","9"
"1290","ВОКЗАЛЫ, АВТОВОКЗАЛЫ, АЭРОВОКЗАЛЫ ","0"
"1300","ВРАЧЕБНО-ТРУДОВЫЕ ЭКСПЕРТИЗЫ ","0"
"1310","ВТОРИЧНОЕ СЫРЬЕ – ПЕРЕРАБОТКА, ПРОДАЖА","0"
"1330","ВЫСТАВОЧНЫЕ ЗАЛЫ И ГАЛЕРЕИ ХУДОЖЕСТВЕННЫЕ ","3"
"1340","ВЫСШИЕ УЧЕБНЫЕ ЗАВЕДЕНИЯ","0"
"1350","ВЫШИВКА – ИЗГОТОВЛЕНИЕ, ПРОДАЖА","5"
"1360","ГАЗ ПРИРОДНЫЙ – ПОСТАВКА, ПЕРЕРАБОТКА","0"
"1370","ГАЗЕТЫ, ЖУРНАЛЫ, СПРАВОЧНИКИ – РЕДАКЦИИ","1"
"1380","ГАЗЫ ТЕХНИЧЕСКИЕ И МЕДИЦИНСКИЕ – ПРОДАЖА, ПРОИЗВОДСТВО","0"
"1390","ГАРАЖНЫЕ КООПЕРАТИВЫ","0"
"1400","ГЕОЛОГИ","0"
"1420","ГИПСОКАРТОН – ПРОДАЖА","25"
"1450","ГОРОДСКОЙ ПАССАЖИРСКИЙ ТРАНСПОРТ","0"
"1470","ГОСТИНИЦЫ","0"
"1490","ДВОРЦЫ И ДОМА КУЛЬТУРЫ, КЛУБЫ","0"
"1510","ДЕКОРАТИВНО-ПРИКЛАДНОЕ ИСКУССТВО","4"
"1530","ДЕТСКАЯ ОДЕЖДА, ДЕТСКИЕ ТОВАРЫ – ПРОДАЖА","148"
"1540","ДЕТСКИЕ ДОМА, ПРИЕМНИКИ И ПРИЮТЫ","0"
"1550","ДЕТСКИЕ И МОЛОДЕЖНЫЕ ОРГАНИЗАЦИИ","1"
"1560","ДЕТСКИЕ САДЫ, ЯСЛИ","0"
"1570","ДЕТСКИЕ ТОВАРЫ – ИГРУШКИ, ИГРЫ","82"
"1590","ДЕТСКОЕ ПИТАНИЕ – ПРОДАЖА","34"
"1600","ДИЗАЙН ИНТЕРЬЕРА","35"
"1610","ДИСПАНСЕРЫ","0"
"1620","ДОМА И ПАНСИОНАТЫ ДЛЯ ВЕТЕРАНОВ, ИНВАЛИДОВ И ПРЕСТАРЕЛЫХ","0"
"1630","ДОРОЖНО-СТРОИТЕЛЬНЫЕ РАБОТЫ","0"
"1650","ДОРОЖНЫЕ ЗНАКИ – ИЗГОТОВЛЕНИЕ","0"
"1660","ДОШКОЛЬНОЕ ОБУЧЕНИЕ ДОПОЛНИТЕЛЬНОЕ","1"
"1670","ЖАЛЮЗИ И РОЛЬСТАВНИ – ПРОДАЖА, УСТАНОВКА, РЕМОНТ","38"
"1680","ЖЕЛЕЗОБЕТОННЫЕ ИЗДЕЛИЯ И КОНСТРУКЦИИ – ПРОИЗВОДСТВО","0"
"1690","ЖЕНСКИЕ КОНСУЛЬТАЦИИ","1"
"1700","ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО","0"
