_id,parent_id,name,address_index,address,time,email,www,checking,favorite,editions,orders,tags,description
3,0,КАЗБЕК магазин,362008,"ул. Зангиева, 6, р-к =Фарн=","8.30-17.30; без пер. , вых.",rombo@inbox.ru,,7,0,71,,,
8,0,ВЛАДИКАВКАЗСКИЙ ПИЩЕКОМБИНАТ СЕВОСПОТРЕБСОЮЗА,362013,"ул. 7-я Промышленная, 1",8.00-18.00; пер.  13.00-14.00; вых. Вс.,,www.pol-sta.ru,6,0,67,,,
11,0,МАЯК магазин,362013,"ул. Тельмана, 43",8.00-18.00; без пер. ; вых. Вс.,,,5,0,67,,,
16,0,МАДЛЕН бутик,362040,"пер. Петровский, 5",11.00-19.00; без пер. ; вых. Вс.,madelaine@yandex.ru,www.madlen-btq.ru,6,0,67,,,
28,0,BABY LUCKY,362040,"ул. Ленина, 15",11.00-19.00; Вс. 11.00-18.00,,,5,0,67,,,
29,0,ПАРИЖ бутик,362040,"ул. Ленина, 38",12.00-19.00; вых. Вс.,,,5,0,67,,,
33,0,ВЛАДИКАВКАЗСТРОМТ,362027,"Карцинское шоссе, 9","9.00-17.00; без пер. ; вых. Сб., Вс.",,,5,0,71,,,
36,0,ВТОРОЙ ДОМ,362013,"ул. Черноморская, 2",9.00-17.00; без пер. ; вых. Вс.,dom2@osetia.ru,,6,0,67,,,
37,0,MINI MAN магазин,362027,"ул. Ленина, 62","10.00-19.00; без пер. , вых.",,,5,0,67,,,
41,0,ВИВА,362040,"ул. Джанаева, 33",11.00-19.00; без пер. ; Вс. 12.00-18.00,,,5,0,67,,,
55,0,VTV магазин,362040,"просп. Мира, 8",11.00-19.00; Сб. 11.00-18.00; вых. Вс.,,,5,0,67,,,
58,0,"+36,6 сеть аптек",362027,"ул. Маркуса, 50","9.00-20.00; без пер. , вых.",irfarm366@inbox.ru,,5,0,83,,,
63,0,НОВЫЙ СТИЛЬ парикмахерский салон,362008,"просп. Коста, 79/20","9.00-19.00; без пер. , вых.",,,5,0,83,,,
69,0,JOY магазин,362025,"ул. Ватутина, 50 а","10.00-19.00; без пер. , вых.",,,6,0,83,,,
72,0,БАРМАЛЕЙ,362031,"просп. Коста, 276","10.00-20.00; без пер. , вых.",,,5,0,67,,,
76,0,ПРОДУКТЫ,362027,"ул. Рамонова, 20","8.00-20.00; без пер. , вых.",,,5,0,67,,,
79,0,ЖАСМИН магазин,362025,"ул. Куйбышева, 41","9.00-23.00; без пер. , вых.",,,5,0,67,,,
93,0,АВТОТОВАРЫ,362035,"ул. Московская, 37",9.00-17.00; без пер. ; вых. Вс.,,,5,0,99,,,
95,0,ДЮЙМОВОЧКА магазин,362040,"ул. Ленина, 63","10.00-19.00; без пер. , вых.",,,6,0,75,,,
98,0,КРИСТИ салон красоты,362035,"ул. Московская, 39","10.00-19.00; без пер. , вых.",,,5,0,83,,,
106,0,МАДИНА,362020,"ул. К.Кесаева, 12","8.00-23.00; без пер. , вых.",,,5,0,195,,,
115,0,ВСЕ ДЛЯ СПОРТА магазин,362040,"ул. М.Горького, 15/просп. Мира, 10","10.00-19.00; без пер. , вых.",,,6,0,83,,,
135,0,WELONDA студия,362040,"ул. Ленина, 60","10.00-19.00; без пер. , вых.",,,5,0,83,,,
136,0,ВИНА АНАПЫ,362002,"ул. Маркова, 91","9.00-19.00; без пер. , вых.",,,5,0,67,,,
139,0,AMNESIA магазин,362027,"ул. Маркуса, 41",10.00-20.00,,,5,0,67,,,
140,0,ДЖУНГЛИ,362035,"просп. Коста, 283 б","9.00-22.00; без пер. , вых.",,,5,0,83,,,
144,0,"ХОЗТОВАРЫ, магазин №86",362021,"ул. Тельмана, 14 а",9.00-18.00,,,5,0,67,,,
151,0,ГУРИАТИ,362040,"ул. Ботоева, 12",9.00-18.00,info@guriaty.com,www.guriaty.com,5,0,67,,,
161,0,АССОЛЬ магазин,362025,"ул. Куйбышева, 38","10.00-19.00; без пер. , вых.",,,5,0,67,,,
163,0,МАГНИТ магазин,362042,"ул. Иристонская, 44 а","10.00-21.00; без пер. , вых.",,,5,0,67,,,
183,0,ПОДАРКИ магазин,362040,"ул. Ленина, 60","10.00-19.00; без пер. , вых.",,,5,0,71,,,
185,0,ПРОДУКТЫ + магазин,362007,"ул. В.Абаева, 15","8.00-21.00; без пер. , вых.",,,5,0,67,,,
187,0,НИКА аптека,362025,"ул. Бутырина, 27","9.00-23.00; без пер. , вых.",,,5,0,83,,,
188,0,ЛИГА ЧЕМПИОНОВ (ДЕЛОВОЙ МИР),362000,"ул. Ленина, 19/ул. М.Горького, 16","10.00-19.00; без пер. , вых.",,,5,0,83,,,
198,0,ФАНДЫР,362048,"просп. Ген.Доватора, 8","9.00-18.00; без пер. ; вых. Сб., Вс.",fandyr@mail.ru,,5,0,67,,,
201,0,ДЖУНГЛИ,362027,"ул. Кирова, 54","9.00-21.00; без пер. , вых.",,,5,0,83,,,
210,0,ХЭЛС филиал,362031,"просп. Коста, 206",круглосуточно,,,5,0,83,,,
214,0,Z'S ДИЗАЙН,362008,"ул. Ген.Плиева, 17, ЦУМ, 1 этаж","9.00-20.00; без пер. , вых.",zarinak@list.ru,,6,0,67,,,
216,0,ПАРИТЕТ-В,362021,"ул. Николаева, 4",9.00-17.00; без пер. ; Сб. 9.00-16.00; вых. Вс.,paritet-v@yandex.ru,,5,0,99,,,
218,0,ЛИНОЛЕУМ магазин,,"ул. Владикавказская, 28, р-к =Алан=",10.00-17.00,,,5,0,71,,,
220,0,ДОМИК ПРЯЖИ салон-магазин,,"ул. Куйбышева, 58/60",10.00-18.00; без пер. ; вых. Вс.,,,5,0,71,,,
228,0,ВЕНУС аптека,362045,"ул. А.Кесаева, 2/2",круглосуточно,,,5,0,83,,,
229,0,НИКА такси,,"Архонское шоссе, 1",круглосуточно,,,5,0,99,,,
231,0,ВЛАДСТЕКЛО фирма,362027,"ул. Ватутина, 63",9.00-17.00; пер.  13.30-14.00; Сб. 9.00-14.00; вых. Вс.,,,5,0,71,,,
234,0,ЛЮКС магазин,362035,"ул. Леваневского, 277 а","8.00-22.00; без пер. , вых.",lux.vl@mail.ru,,5,0,67,,,
236,0,КОМПЬЮТЕРНЫЙ МИР,362008,"ул. Ген.Плиева, 18","9.00-20.00; без пер. , вых.",,,5,0,67,,,
