"_id","id_org","ord","phone","owner","owner_fio"
"11463","4938","1","30151","",""
"11957","6189","1","21752","",""
"144817","8651","1","51307","",""
"144819","8247","1","54899,52956","приемная",""
"144820","8247","2","53691","Городской Совет",""
"144823","3607","1","54994","",""
"144824","8199","1","52242","директор",""
"144825","8199","2","53659","учительская",""
"144867","8655","1","52381,56387,53685","",""
"144870","8656","1","54519","уполномоченный",""
"144871","8656","2","55119","консультант",""
"144873","8657","1","51231","",""
"144874","8658","1","57299,51512","руководитель",""
"144875","8658","2","56802","заместитель",""
"144878","8659","1","53642","",""
"144895","8663","1","56722","директор",""
"144898","3590","1","53082","начальник",""
"144899","3590","2","52960","заместитель",""
"144900","8664","1","52408,52688","",""
"144901","8665","1","54780","",""
"144902","8666","1","54328","",""
"144903","8667","1","56787","",""
"144904","8254","1","51443,51546","",""
"144907","8188","1","53723","",""
"144908","8189","1","51178","",""
"144909","8163","1","51459","",""
"144910","8180","1","51710,51711","директор",""
"144911","8180","2","51712","администрация",""
"144913","8168","1","53661","",""
"144918","8148","1","57337","",""
"144919","8130","1","54390","руководитель",""
"144920","8130","2","52857","пресс-служба",""
"144935","8136","1","52398,52840","",""
"144937","8229","1","52341,56838","",""
"144939","8226","1","52653979","",""
"144941","8153","1","54866","",""
"144942","8241","1","52273","",""
"144943","8225","1","56711","",""
"144944","8179","1","52759","начальник",""
"144945","8179","2","52841","бухгалтерия",""
"144948","8178","1","54326","",""
"144949","8138","1","54024","директор",""
"144950","8138","2","52873","менеджер",""
"144951","8138","3","53717","редактор",""
"144952","8181","1","52890","",""
"144953","8177","1","51418","",""
"144956","8198","1","51331","",""
"144966","8175","1","51372","",""
"144967","8172","1","54938","",""
"144969","8167","1","57760","",""
"144970","3575","1","53502","",""
"144971","8174","1","51616","",""
"144972","8051","1","52868","",""
"144983","8211","1","54403","",""
"144984","8212","1","55271","",""
"144985","8213","1","53577,54056","",""
"144986","8218","1","51267,51269","",""
"144992","8169","1","52433","управляющий",""
"144993","8169","2","53584,57041","общий",""
"144994","8170","1","52942,51365","",""
"144996","8121","1","51571","",""
"144997","8114","1","51542","",""
"144998","8350","1","52355,8899510178","",""
"145000","8234","1","55023","",""
"145004","8186","1","51325","",""
"145012","8165","1","52730,53736,46787","директор",""
"145019","8164","1","56666","",""
"145033","8190","1","53502,52492","",""
"145034","8240","1","52049","гл. врач",""
"145035","8240","2","52567,54514","приемная",""
"145036","8242","1","55999","",""
"145037","8009","1","52510","гл. врач",""
"145038","8009","2","54512","приемная",""
