_id,parent_id,name,has_child,org_count,image,tags
1,0,Отдых и развлечения,,,tcat_relax.png,"Отдых и развлечения,Развлечения,Отдых"
2,1,"Базы отдыха, санатории, курорты",,,,"Базы отдыха, санатории, курорты"
3,1,Бильярд,,,,Бильярд
4,1,Боулинг,,,,Боулинг
5,1,Выставочные залы и художественные галереи,,,,"Выставочные залы,художественные галереи"
6,1,Дворцы и дома культуры,,,,Дворцы и дома культуры 
7,1,Зоопарки,,,,Зоопарки
8,1,Кинотеатры,,,,Кинотеатры
9,1,Музеи,,,,Музеи
10,1,Ночные клубы,,,,Ночные клубы
11,1,Парки культуры и отдыха,,,,Парки
12,1,Развлекательные центры,,,,Развлекательные центры
13,1,"Рестораны, кафе, бары",,,,"Рестораны, кафе, бары"
14,1,Театры,,,,Театры
15,1,Школы танцев,,,,"Школы танцев, Танцы"
16,1,"Компьютерные клубы, игровые автоматы",,,,"Компьютерные клубы, Игровые автоматы"
17,1,"Букмекеры, Лотереи",,,,"Букмекеры, Лотереи"
18,0,Магазины,,,tcat_shops.png,Магазины
19,18,Аптеки,,,,Аптеки
20,18,"Автосервисы, автотехцентры",,,,"Автосервисы, автотехцентры"
21,18,Автосалоны,,,,Автосалоны
22,18,Автозапчасти,,,,Автозапчасти
23,18,Автомагазины,,,,Автомагазины
24,18,Авиа- и ж/д билеты,,,,"Авиа- и ж/д билеты, ж/д билеты, авиа билеты"
25,18,Салоны связи,,,,Салоны связи
26,18,Строительные,,,,Строительные магазины
27,18,"Аксессуары (очки, часы, кожгалантерея) ",,,,"Часы, Очки, Кожгалантереи, Аксессуары"
28,18,Гипермаркеты,,,,Гипермаркеты
29,18,Детские,,,,Детские магазины
30,18,Книги,,,,Книжные магазины
31,18,Компьютеры,,,,Компьютерные магазины
32,18,Мебель,,,,"Магазины мебели, Мебель"
33,18,Одежда и обувь,,,,"Магазины одежды, Магазины обуви, Одежда, Обувь"
34,18,Продукты,,,,"Магазины продуктов, Продукты"
35,18,Ткань,,,,"Магазины ткани, Ткань"
36,18,Хозтовары,,,,"Магазины хозтоваров, Хозтовары"
37,18,Медицинские,,,,Медицинские магазины
38,18,Музыкальные,,,,"Музыкальные магазины, Музыка"
39,18,Бытовая техника и электроника,,,,"Магазины электроники, Электроника, Бытовая техника"
40,18,Косметика и парфюмерия,,,,"Парфюмерные магазины, Парфюм, Косметические магазины, Косметика"
41,18,Охота и рыбалка,,,,"Рыболовные магазины, Охотничьи магазины, Охота, Рыбалка"
42,18,Посуда,,,,Посуда
43,18,Рынки,,,,Рынки
44,18,Специализированные,,,,Специализированные
45,18,Спорт,,,,Спорт
46,18,Супермаркеты,,,,Супермаркеты
47,18,Торговые центры,,,,Торговые центры
48,18,Ювелирные,,,,Ювелирные магазины
49,0,Красота и здоровье,,,tcat_beauty_health.png,"Красота и здоровье, Красота, Здоровье"
50,49,Аптеки,,,,Аптеки
51,49,Больницы,,,,Больницы
52,49,Женские консультации,,,,Женские консультации
53,49,Клиники,,,,Клиники
54,49,Лаборатории,,,,Лаборатории
55,49,Медицинские центры,,,,Медицинские центры
56,49,Парикмахерские,,,,Парикмахерские
57,49,Поликлиники,,,,Поликлиники
58,49,Родильные дома,,,,Родильные дома
59,49,Салоны красоты,,,,Салоны красоты
60,49,Скорая помощь,,,,Скорая помощь
61,49,Солярии,,,,Солярии
62,49,СПА-салоны,,,,СПА-салоны
63,49,Стоматология,,,,Стоматология
64,49,Травмпункты,,,,Травмпункты
65,0,Услуги,,,tcat_services.png,Услуги
66,65,Аварийные службы,,,,Аварийные службы
67,65,Ателье по пошиву одежды,,,,Ателье по пошиву одежды
