"_id","ph_number","ph_owner","ph_org_id","ph_ownerFIO"
"23716","405320","","11455",""
"23717","929258","","11455",""
"23718","89289274823","","11455",""
"23746","742481","","12571",""
"23910","749879","приемная","1385",""
"23911","949418","прием заказов, отдел сбыта","1385",""
"23912","748408","директор","1385",""
"24494","405990","","12506",""
"24495","707909","","11521",""
"24496","707808","","11521",""
"24497","988699","","11521",""
"24894","551627","","8536",""
"24895","89284949808","","8536",""
"25506","31355","","6043",""
"25509","31776","","6045",""
"25510","31407","","6044",""
"25511","91608","","6048",""
"25512","34059","","6039",""
"25514","22700","","6042",""
"25515","51233","","6047",""
"25770","403744","","12619",""
"25937","743360","","1506",""
"25938","89280677771","","1506",""
"26100","532119","","12605",""
"27041","89188362457","","12632",""
"27840","529863","","10748",""
"28078","755006","","3855",""
"28658","551236","","10983",""
"28659","997589","","10983",""
"28695","89888732404","","9545",""
"29715","241661","","11690",""
"29948","89288558547","","11145",""
"29949","990505","","11145",""
"29950","89188290505","","11145",""
"30062","443446","","12645",""
"30226","959584","","11761",""
"30227","762549","","11761",""
"30331","537313","","6465",""
"30938","537403","","9876",""
"30940","89286875360","","12220",""
"31003","931545","","12652",""
"31004","89188231545","","12652",""
"31166","537305","","9290",""
"31744","89888767677","","12628",""
"31938","89188319690","","12607",""
"31944","89891310228","","12626",""
"31945","89188279832","","12626",""
"32159","969511","","12589",""
"33295","89280734781","","12640",""
"36237","405503","","12524",""
"36281","404171","","12498",""
"53969","89187154384","","10954",""
"54609","547533","","11043",""
"55045","980714","","6528",""
"55246","518028","","9312",""
"55306","89282357035","","8468",""
"55313","404873","","12548",""
"55348","403837","","11609",""
"55352","404941","","12954",""
"55436","743070","","12131",""
"55446","610777","","12393",""
"55843","32509","","11110",""
"55844","32799","","11110",""
"55926","37117","","609",""
"55927","37077","","609",""
"55942","21145","","6122",""
"55943","22025","","6122",""
"56324","944334","","12101",""
"56400","539354","","3981",""
"56592","280688","","10923",""
"56725","493726","","12058",""
"57012","89284898175","","12982",""
"57181","42138","","6020",""
"57233","31572","","4327",""
"57235","750442","","7152",""
"57254","531340","","8545",""
"57267","991466","","10756",""
"57268","89188291466","","10756",""
"57279","766732","","10814",""
"57283","740224","","145",""
"57287","535414","","7504",""
"57316","494240","","10562",""
"57357","35653","","6340",""
"57371","743191","","3173",""
"57372","89888302628","","12000",""
"57463","745980","","12449",""
"57464","89627469255","","12449",""
"57481","756560","","429",""
"57498","536939","","11386",""
"57502","769968","","2447",""
"57533","32614","","1252",""
"57534","762719","","975",""
"57616","749028","","8756",""
"57617","24440","","7887",""
"57625","56738","","6228",""
"57666","251700","","11096",""
"57686","33117","начальник","1546",""
"57687","32087","товарная контора","1546",""
"57713","42368","начальник","2663",""
"57714","41907","гл. бухгалтер","2663",""
"57721","34983","","4864",""
"57800","28084","приемная","853",""
"57801","27074","заместитель","853",""
"57802","27941","бухгалтерия","853",""
"57803","28160","бухгалтерия","853",""
"57804","28029","цех","853",""
"57805","28016","цех","853",""
"57806","33524","директор","2656",""
"57807","32241","проходная","2656",""
"57808","500907","дежурная часть","4844",""
"57809","34576","дежурная часть","4844",""
"57817","27299","приемная","2544",""
"57818","27217","директор","2544",""
"57819","27156","инженеры","2544",""
"57820","27160","гл. бухгалтер","2544","Бондарева Галина Петровна"
"57821","33744","начальник","5151",""
"57822","31098","заместитель","5151",""
"57824","41750","начальник","5282",""
"57825","41747","приставы","5282",""
"57827","24990","","5844",""
"57838","27473","гл. диспетчер","794",""
"57839","22882","приемная","794",""
"57840","35002","начальник","794",""
"57841","22036","бухгалтерия","794",""
"57855","774712","","4040",""
"57857","404862","","12547",""
"57861","89188226924","","11806",""
"57928","91146","","5625",""
"57931","35767","с.Гизель, ул.Пролетарская, 62","5624","Кочиева Римма Харитоновна"
"57932","699966","с.Ногир, ул.Санакоева, 13","5624","Калаева Мадина Керменовна"
"57933","22842","с.Октябрьское, ул.П.Тедеева, 131","5624",""
"57934","22386","с.Октябрьское, ул.П.Тедеева, 131","5624",""
"57937","22800","","5217",""
"57942","31295","","6216",""
"57943","31669","","6216",""
"57948","92533","","6323",""
"57964","531670","","8836",""
"57966","94580","директор","3018",""
"57967","94145","социальный педагог","3018",""
"57968","94169","социальный педагог","3018",""
"57975","91561","","8278",""
"58006","96274","","5949",""
"58009","768548","","6513",""
