"_id","cat_name"
"480","АВАРИЙНЫЕ СЛУЖБЫ "
"490","АВИАКОМПАНИИ "
"500","АВТОЗАПРАВОЧНЫЕ СТАНЦИИ"
"510","АВТОЗАПЧАСТИ И ПРИНАДЛЕЖНОСТИ – ПРОДАЖА "
"520","АВТОМАСЛА, АВТОКРАСКИ – ПРОДАЖА "
"540","АВТОМАТИКА ДЛЯ ВОРОТ – УСТАНОВКА"
"570","АВТОМОБИЛИ – МОЙКА"
"580","АВТОМОБИЛИ – ПРОДАЖА "
"600","АВТОМОБИЛИ СПЕЦИАЛИЗИРОВАННЫЕ"
"610","АВТОСЕРВИС – ДИАГНОСТИКА, РЕМОНТ, ПОКРАСКА"
"611","АВТОСЕРВИС – КОЛЕСА, ДИСКИ, ШИНОМОНТАЖ "
"612","АВТОСЕРВИС – СИГНАЛИЗАЦИЯ И ЭЛЕКТРОННОЕ ОБОРУДОВАНИЕ"
"613","АВТОСЕРВИС – ТОНИРОВКА"
"620","АВТОСТОЯНКИ"
"630","АВТОТРАНСПОРТ – ГРУЗОВЫЕ ПЕРЕВОЗКИ"
"640","АВТОТРАНСПОРТ – ПАССАЖИРСКИЕ ПЕРЕВОЗКИ"
"660","АВТОШИНЫ – ПРОДАЖА"
"670","АВТОШКОЛЫ "
"690","АГРОХИМИЯ"
"699","АЛКОГОЛЬ – ПРОИЗВОДСТВО"
"700","АЛКОГОЛЬНЫЕ НАПИТКИ – ПРОДАЖА"
"710","АМБУЛАТОРИИ, ЗДРАВПУНКТЫ, МЕДПУНКТЫ"
"720","АНТЕННЫ – ТЕЛЕВИЗИОННЫЕ, СПУТНИКОВЫЕ"
"740","АПТЕКИ "
"750","АСФАЛЬТ – ПРОИЗВОДСТВО, ПРОДАЖА"
"760","АТЕЛЬЕ – ПОШИВ ТЕАТРАЛЬНЫХ КОСТЮМОВ"
"770","АТЕЛЬЕ ПОШИВА, РЕМОНТА"
"790","АТЕЛЬЕ ПОШИВА, РЕМОНТА – КОЖАНЫЕ И МЕХОВЫЕ ИЗДЕЛИЯ"
"800","АТЕЛЬЕ ПОШИВА, РЕМОНТА – НАЦИОНАЛЬНАЯ ОДЕЖДА"
"810","АУДИО-, ВИДЕОАППАРАТУРА – ОБСЛУЖИВАНИЕ, РЕМОНТ"
"830","АУДИО-, ВИДЕОКАССЕТЫ, КОМПАКТ-ДИСКИ, DVD – ПРОДАЖА"
"840","АУДИТОРСКИЕ И БУХГАЛТЕРСКИЕ УСЛУГИ"
"850","БАГЕТ – ПРОДАЖА"
"860","БАНИ И САУНЫ"
"870","БАНИ, САУНЫ, КАМИНЫ, ПЕЧИ – ПРОДАЖА И МОНТАЖ ОБОРУДОВАНИЯ"
"890","БАНКИ "
"900","БАНКИ – ПУНКТЫ ОБМЕНА ВАЛЮТЫ"
"920","БАССЕЙНЫ, ФОНТАНЫ – СТРОИТЕЛЬСТВО"
"930","БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ – ПРОИЗВОДСТВО, ОПТОВАЯ ПРОДАЖА"
"940","БЕЛЬЕ – ПРОДАЖА "
"960","БЕТОН – ПРОИЗВОДСТВО, ПРОДАЖА"
"970","БИБЛИОТЕКИ"
"980","БИЖУТЕРИЯ, ГАЛАНТЕРЕЯ, КОЖГАЛАНТЕРЕЯ – ПРОДАЖА"
"1000","БИЛЕТЫ  АВИА-,  Ж/Д ТРАНСПОРТ – ПРОДАЖА, ЗАКАЗ "
"1010","БИЛЬЯРД"
"1030","БОЛЬНИЦЫ "
"1060","БУКМЕКЕРЫ, ЛОТЕРЕЙНЫЕ КЛУБЫ"
"1070","БУМАГА, КАРТОН – ПРОДАЖА, ПРОИЗВОДСТВО"
"1080","БУХГАЛТЕРСКИЕ ПРОГРАММЫ"
"1090","БЫТОВАЯ ТЕХНИКА – ПРОДАЖА "
"1100","БЫТОВАЯ ТЕХНИКА – РЕМОНТ"
"1110","БЫТОВАЯ ХИМИЯ – ПРОДАЖА "
"1120","БЫТОВЫЕ УСЛУГИ "
"1130","БЮРО ТЕХНИЧЕСКОЙ ИНВЕНТАРИЗАЦИИ"
"1150","ВЕНТИЛЯЦИОННЫЕ СИСТЕМЫ – ИЗГОТОВЛЕНИЕ, МОНТАЖ, РЕМОНТ"
"1170","ВЕТЕРИНАРНЫЕ КЛИНИКИ, СТАНЦИИ, УЧАСТКИ"
"1240","ВИТРАЖИ – ИЗГОТОВЛЕНИЕ"
"1250","ВОДА МИНЕРАЛЬНАЯ, ПИТЬЕВАЯ – ПРОИЗВОДСТВО, ОПТОВАЯ ПРОДАЖА"
"1260","ВОДОСНАБЖЕНИЕ И КАНАЛИЗАЦИЯ"
"1280","ВОЕННАЯ ФОРМА, СПЕЦОДЕЖДА И ФУРНИТУРА – ПОШИВ, ПРОДАЖА"
"1290","ВОКЗАЛЫ, АВТОВОКЗАЛЫ, АЭРОВОКЗАЛЫ "
"1300","ВРАЧЕБНО-ТРУДОВЫЕ ЭКСПЕРТИЗЫ "
"1310","ВТОРИЧНОЕ СЫРЬЕ – ПЕРЕРАБОТКА, ПРОДАЖА"
"1330","ВЫСТАВОЧНЫЕ ЗАЛЫ И ГАЛЕРЕИ ХУДОЖЕСТВЕННЫЕ "
"1340","ВЫСШИЕ УЧЕБНЫЕ ЗАВЕДЕНИЯ"
