"_id","org_name","org_http","org_email","org_cache_mode","org_parent_id","org_cache_address","org_address_index","org_address_region","org_address_district","org_address_city","org_address_street","org_address_building","org_address_corp","org_address_street2","org_address_building2","org_address_corp2","org_address_other","org_address_x","org_address_y","org_small_name"
"2","ЦЕНТР ЭКОЛОГИЧЕСКОЙ СЕРТИФИКАЦИИ ГОРЮЧЕ-СМАЗОЧНЫХ МАТЕРИАЛОВ","","","09 - 17 пер.: 13 - 14 вых.: сб. вс. ","0","г. Владикавказ, ул. Иристонская 25 ","362015","1","0","1","46","25","","0","","","","43.060633","44.664544","центр экологической сертификации горюче-смазочных материалов"
"3","КАЗБЕК магазин","","rombo@inbox.ru","08:30 - 17:30 ","0","г. Владикавказ, ул. Зангиева 6 р-к =Фарн=","362008","1","0","1","122","6","","0","","","р-к =Фарн=","43.016821","44.678482","казбек магазин"
"8","ВЛАДИКАВКАЗСКИЙ ПИЩЕКОМБИНАТ СЕВОСПОТРЕБСОЮЗА","www.pol-sta.ru","","08 - 18 пер.: 13 - 14 вых.: вс. ","0","г. Владикавказ, ул. 7-я Промышленная 1 ","362013","1","0","1","305","1","","0","","","","0.0","0.0","владикавказский пищекомбинат севоспотребсоюза"
"11","МАЯК магазин","","","08 - 18 вых.: вс. ","0","г. Владикавказ, ул. Тельмана 43 ","362013","1","0","1","67","43","","0","","","","43.069925","44.675836","маяк магазин"
"16","МАДЛЕН бутик","www.madlen-btq.ru","madelaine@yandex.ru","11 - 19 вых.: вс. ","0","г. Владикавказ, пер. Петровский 5 ","362021","1","0","1","190","5","","0","","","","43.034397","44.680911","мадлен бутик"
"17","НАШЕ РАДИО","","desk@osetiafm.ru","пн. - пт. 09 - 18 пер.: 13 - 14 сб. 10 - 15 вых.: вс. ","0","г. Владикавказ, ул. Тхапсаева 4 11 этаж","362040","1","0","1","189","4","","0","","","11 этаж","43.028307","44.677616","наше радио"
"18","МЕГАКОМ","","","круглосуточно","0","г. Владикавказ, ул. Пожарского 2 а ","362021","1","0","1","62","2 а","","0","","","","43.057893","44.662567","мегаком"
"19","КОБАН","","","08 - 20 ","0","г. Владикавказ, пр-т. Ген.Доватора 8 ","362048","1","0","1","4","8","","0","","","","43.01732","44.661142","кобан"
"20","ПРИРЕЛЬСОВАЯ БАЗА","","","09 - 16 вых.: сб. вс. ","0","г. Владикавказ, ул. 3-я Промышленная 1 ","","1","0","1","318","1","","0","","","","0.0","0.0","прирельсовая база"
"26","ОЧАРОВАНИЕ","","","10 - 19 ","0","г. Владикавказ, ул. Московская 30 ","362039","1","0","1","13","30","","0","","","","43.049376","44.639391","очарование"
"28","BABY LUCKY","","","пн. - сб. 11 - 19 вс. 11 - 18 ","0","г. Владикавказ, ул. Ленина 15 ","362040","1","0","1","295","15","","0","","","","43.027189","44.682713","baby lucky"
"29","ПАРИЖ бутик","","","12 - 19 вых.: вс. ","0","г. Владикавказ, ул. Ленина 38 ","362040","1","0","1","295","38","","0","","","","43.030304","44.682594","париж бутик"
"33","ВЛАДИКАВКАЗСТРОМТ","","","09 - 17 вых.: сб. вс. ","0","г. Владикавказ, ш. Карцинское 9 ","362027","1","0","1","231","9","","0","","","","0.0","0.0","владикавказстромт"
