_id,cat_name,cat_name2
480,АВАРИЙНЫЕ СЛУЖБЫ ,Аварийные службы
490,АВИАКОМПАНИИ ,Авиа- и ж/д билеты
500,АВТОЗАПРАВОЧНЫЕ СТАНЦИИ,АЗС
510,АВТОЗАПЧАСТИ И ПРИНАДЛЕЖНОСТИ – ПРОДАЖА ,Автозапчасти
520,"АВТОМАСЛА, АВТОКРАСКИ – ПРОДАЖА ",Автомагазины
540,АВТОМАТИКА ДЛЯ ВОРОТ – УСТАНОВКА,"Двери, дверные блоки, Ворота"
570,АВТОМОБИЛИ – МОЙКА,Автомойки
580,АВТОМОБИЛИ – ПРОДАЖА ,Автосалоны
600,АВТОМОБИЛИ СПЕЦИАЛИЗИРОВАННЫЕ,Автосалоны
610,"АВТОСЕРВИС – ДИАГНОСТИКА, РЕМОНТ, ПОКРАСКА","Автосервисы, автотехцентры"
611,"АВТОСЕРВИС – КОЛЕСА, ДИСКИ, ШИНОМОНТАЖ ",Шиномонтаж
612,АВТОСЕРВИС – СИГНАЛИЗАЦИЯ И ЭЛЕКТРОННОЕ ОБОРУДОВАНИЕ,"Автосервисы, автотехцентры"
613,АВТОСЕРВИС – ТОНИРОВКА,"Автосервисы, автотехцентры"
620,АВТОСТОЯНКИ,"Автостоянки, паркинги"
630,АВТОТРАНСПОРТ – ГРУЗОВЫЕ ПЕРЕВОЗКИ,Грузовые перевозки
640,АВТОТРАНСПОРТ – ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,Городской транспорт
660,АВТОШИНЫ – ПРОДАЖА,Автомагазины
670,АВТОШКОЛЫ ,Автошколы
690,АГРОХИМИЯ,
699,АЛКОГОЛЬ – ПРОИЗВОДСТВО,
700,АЛКОГОЛЬНЫЕ НАПИТКИ – ПРОДАЖА,Продукты
710,"АМБУЛАТОРИИ, ЗДРАВПУНКТЫ, МЕДПУНКТЫ",Медицинские центры
