"_id","lorg_org_id","lorg_cat_id"
"11616","11707","4880"
"11647","12083","580"
"12098","12084","4940"
"12629","11246","1860"
"13306","11893","3040"
"13307","11893","3850"
"13308","11893","4200"
"13329","12042","3720"
"13876","7679","2330"
"13877","7679","2400"
"13878","7679","4490"
"13879","7679","4640"
"14700","10752","4140"
"14701","10752","4470"
"14729","3309","500"
"14769","3126","4220"
"15012","7159","1150"
"15018","11925","3240"
"15039","4392","500"
"15040","4392","570"
"15330","9467","2330"
"15331","9467","4140"
"15377","9580","1620"
"15431","1402","1110"
"15432","1402","1950"
"15433","1402","2320"
"15434","1402","2870"
"15435","1402","3350"
"15436","1402","3420"
"15437","1402","3810"
"15438","1402","4140"
"15439","1402","4640"
"15465","11012","4150"
"15466","11012","4140"
"15499","11922","720"
"15500","11922","2210"
"15501","11922","3110"
"15651","4473","4250"
"15668","10825","4250"
"15670","10822","4250"
"15680","2968","4250"
"15830","7252","4140"
"15940","11605","1420"
"15941","11605","4140"
"15942","11605","4470"
"15943","11605","4680"
"16002","7615","3020"
"16249","2754","3580"
"16646","130","3490"
"16859","12075","3400"
"16860","12075","4610"
"16919","4391","500"
"17256","4863","2940"
"17341","12207","3840"
"17448","11814","510"
"17449","11814","660"
"17784","3069","3500"
"17785","3069","1250"
"17786","3069","930"
"17792","4395","1700"
"17913","4084","740"
"18087","12082","510"
"18354","6420","840"
"18569","6164","1700"
"19361","6235","1620"
"19464","33","3000"
"19465","33","3020"
"19466","33","3730"
"19467","33","4140"
"19468","33","4470"
"19490","11955","1250"
"19491","11955","3500"
"19576","94","4880"
"19577","94","4920"
"19636","2145","2360"
"19637","2145","2885"
"20288","836","1930"
"20320","2699","2120"
"20321","2699","3500"
"20410","3906","4430"
"20411","3906","4390"
"20670","9164","740"
"20671","9165","740"
"20899","11418","3570"
"21042","3557","1650"
"21215","11875","3640"
"21216","11875","3651"
"21217","11875","3700"
"21246","11624","4140"
"21335","2870","4480"
"21525","2617","699"
"21582","10784","2540"
"21626","6289","699"
"21667","3118","2710"
"21733","3960","700"
"21734","3960","4430"
"21761","1918","1590"
"21845","294","2990"
"21895","11338","800"
"21896","11338","4994"
"21928","11639","1030"
"21989","12363","960"
"21990","12363","4140"
"22220","2775","4340"
"22284","7920","3810"
"22408","2067","1550"
"22409","2067","1660"
"22574","7179","3500"
"22584","5196","1630"
"22816","11819","640"
"23037","5871","630"
"23244","11445","3810"
"23278","12428","3110"
"23368","2549","2560"
"23369","2549","2540"
"23407","10743","3020"
"23721","11534","1780"
"23722","11534","3420"
"23723","11534","3500"
"23724","11534","4430"
"24403","2777","4340"
"24592","3370","699"
"24678","7686","4220"
"24942","2859","500"
"24943","2859","570"
"24944","2859","611"
"25124","2648","699"
"25162","2674","2120"
"25247","3699","4120"
"25484","4416","4850"
"25588","11645","2210"
"25753","3192","1860"
"25754","3192","3900"
"25800","7227","1310"
"25963","4167","1680"
"26248","1242","699"
"26258","2715","2120"
"27039","4297","1370"
"27046","11017","3720"
"27189","7412","2970"
"27190","7412","2090"
"27191","7412","940"
"27238","12331","2970"
"27239","12331","980"
"27334","11239","2970"
"27335","11239","2900"
"27336","11239","980"
"27440","6952","3280"
"27441","6952","2980"
"27442","6952","2970"
"27679","9878","3720"
"27680","9878","2050"
"27924","6659","2560"
"27925","6659","2550"
"27963","9865","2980"
"27964","9865","2970"
"28602","7945","3960"
"29136","9586","930"
"29137","9586","1250"
"29239","235","1780"
"29395","8936","3720"
"29487","8478","1650"
"29488","8478","2710"
"29520","11921","1120"
"29521","11921","2490"
"29522","11921","4560"
"29936","11914","4140"
"29937","11914","4680"
"30200","12018","3780"
"30492","9766","1530"
"30676","12017","3780"
"30735","41","940"
"30736","41","980"
"30737","41","2760"
"30738","41","2900"
"30739","41","2970"
"30740","41","3120"
"30741","41","3340"
"30774","6700","3840"
"30775","6700","4490"
"30876","1740","1700"
"31481","3964","1150"
"31482","3964","2210"
"31483","3964","3050"
"31484","3964","3110"
"31485","3964","3430"
"31526","719","1930"
"31527","719","3040"
"31528","719","4210"
"32198","3534","3420"
"33721","9113","4630"
"33767","11024","2210"
"33974","10320","4520"
"34041","12404","3720"
"34182","1174","3500"
"34183","1358","1110"
"34184","1358","3340"
"34185","1358","3350"
"34186","1358","4640"
"34216","11325","630"
"34217","11325","2370"
"34218","11325","3390"
"34219","11325","3395"
"34220","11325","5000"
"34370","9020","2600"
"34371","9020","2650"
"36116","12565","2620"
"36233","11455","4950"
"36262","12571","3500"
"36283","12574","2540"
"36284","12574","2550"
"36293","12535","3420"
"36294","12535","3500"
"36317","12577","2370"
"36318","12577","3720"
"36329","12490","1000"
"36331","12581","1000"
"36336","12202","1600"
"36337","12202","3430"
"36338","12202","3630"
"36339","12202","4220"
"36347","12583","3020"
"36393","1385","930"
"36394","1385","1250"
"36395","1385","3500"
"36413","12588","1120"
"36414","12588","3040"
"36466","12594","2370"
"36467","12594","3720"
"36596","7498","2900"
"36597","9255","2900"
"36698","1813","2160"
"36699","1813","2180"
"36700","1813","2485"
"36730","7938","2900"
"36731","7938","2970"
"36732","7938","2980"
"36733","3972","860"
"36738","139","980"
"36739","139","2900"
"36740","139","2970"
"36741","139","2980"
"36787","2804","1280"
"36788","2804","1350"
"36789","2804","3340"
"36790","2804","3470"
"36801","11372","2180"
"36802","11372","3960"
"36804","11818","2180"
"36805","11818","3960"
"36811","12365","3340"
"36824","9843","2900"
"36825","9843","2970"
"36826","9843","2980"
"36834","11168","510"
"36835","11168","520"
"36838","11169","510"
"36839","11169","520"
"36922","11252","980"
"36923","11252","2900"
"36930","12372","980"
"36931","12372","2970"
"36945","12506","4120"
"36946","11521","2840"
"36947","11521","4950"
"36957","10780","1530"
"36958","10780","1570"
"36964","12489","3420"
"36970","6870","980"
"36971","6870","2900"
"36972","6870","2970"
"36973","6870","2980"
"37005","11058","4520"
"37010","12145","3720"
"37018","10564","2180"
"37032","12590","980"
"37033","12590","2970"
"37043","6525","2370"
"37044","6525","3720"
"37060","12316","940"
"37061","8863","980"
"37062","8863","2900"
"37063","8863","2970"
"37124","10746","4590"
"37137","12569","3720"
"37152","11337","3020"
"37153","11337","4984"
"37169","7394","940"
"37170","7394","2090"
"37171","7394","2900"
"37172","7394","2980"
"37183","6935","3280"
"37184","6935","3350"
"37185","6935","4710"
"37187","6485","980"
"37188","6485","2900"
"37189","6485","2970"
"37212","12593","2540"
"37213","12593","2550"
"37214","12593","2560"
"37215","12593","2570"
"37219","8546","2540"
"37220","8546","2550"
"37225","12154","4930"
"37234","9316","3810"
"37256","12109","1820"
"37257","12109","2360"
"37258","12109","2920"
"37312","3482","2900"
"37313","3482","2980"
"37315","639","4030"
"37316","639","4810"
"37353","8536","2360"
"37433","11291","980"
"37434","11291","2970"
"37435","11291","2980"
"37442","3742","4590"
"37484","3664","3720"
"37572","12606","2540"
"37573","12606","2550"
"37574","12606","2560"
"37581","11307","4010"
"37584","12080","980"
"37585","12080","2280"
"37594","10759","4610"
"37629","11809","980"
"37630","11809","2900"
"37631","11809","2970"
"37645","7872","2900"
"37646","7872","2980"
"37653","12190","1110"
"37654","12190","2280"
"37655","12190","3350"
"37669","12026","1570"
"37670","12026","4985"
"37714","12285","3950"
"37749","11326","4994"
"37778","12353","1530"
"37786","8643","1530"
"37787","8643","1570"
"37788","9192","1530"
"37789","9192","1570"
"37790","11258","1530"
"37791","11258","1570"
"37792","8975","3720"
"37818","10987","3070"
"37819","10987","3400"
"37820","10987","4994"
"37832","3280","2970"
"37833","11163","940"
"37834","11163","980"
"37841","9687","2970"
"37842","9687","2980"
"37902","7277","3810"
"37907","12615","2420"
"37934","2981","1530"
"37935","2981","2900"
"37936","2981","2970"
"37937","2981","4010"
"37939","10520","2900"
"37940","10520","2970"
"37941","7740","2900"
"37942","7740","2970"
"37949","12617","2540"
"37950","12617","2550"
"37951","12617","2560"
"38006","6964","770"
"38007","6964","2980"
"38019","8888","940"
"38020","8888","2970"
"38060","12335","980"
"38061","12335","1530"
"38062","12335","2900"
"38063","12335","2970"
"38064","12335","2980"
"38066","12567","1530"
"38067","12567","2970"
"38068","12567","2980"
"38069","12567","4994"
"38070","12291","4520"
"38071","7629","1280"
"38072","12503","1530"
"38083","12123","3810"
"38121","11160","2970"
"38124","1169","4120"
"38134","11827","1280"
"38135","11827","2480"
"38136","11827","4560"
"38138","11185","980"
"38139","11185","2280"
"38143","3382","830"
"38144","3382","1090"
"38145","3382","4610"
"38162","7774","2280"
"38163","7774","2360"
"38185","11587","1530"
"38186","11587","2970"
"38187","11587","2980"
"38188","2877","630"
"38198","9226","2050"
"38199","9226","3720"
"38201","11161","980"
"38202","11161","2980"
"38205","7780","1470"
"38206","7780","3720"
"38212","3024","2350"
"38214","8592","3720"
"38215","9236","940"
"38216","9236","980"
"38217","9236","2970"
"38231","3899","3950"
"38246","6901","1920"
"38247","6901","2360"
"38267","12618","2640"
"38268","12618","3810"
"38283","12619","630"
"38284","12619","4560"
"38349","11304","1530"
"38350","11304","2900"
"38351","11304","2970"
"38352","11304","2980"
"38363","9350","2960"
"38383","12295","980"
"38384","12295","2970"
"38417","12139","2970"
"38431","1506","520"
"38432","1506","610"
"38458","9465","2550"
"38469","1045","1110"
"38470","1045","3420"
"38508","12624","2830"
"38509","12624","4950"
"38530","11334","2050"
"38531","11334","3720"
"38563","300","2050"
"38564","300","3720"
"38574","12605","2360"
"38575","12605","4770"
"38588","9741","980"
"38589","9741","2900"
"38590","9741","2980"
"38591","11924","4985"
"38598","8917","4380"
"38625","7530","2330"
"38626","7530","2710"
"38627","7530","3010"
"38628","7530","4140"
"38655","9351","2970"
"38656","9351","2980"
"38670","12227","3340"
"38735","12508","3720"
"38752","9806","4700"
"38756","9349","3400"
"38757","9349","4610"
"38760","9412","2550"
"38765","11831","510"
"38766","11831","520"
"38767","11831","610"
"38768","11831","611"
"38769","11831","660"
"38788","12504","4520"
"38798","8953","2970"
"38815","12094","1820"
"38816","12094","2360"
"38817","12094","2920"
"38854","3526","3720"
"38858","12206","2920"
"38859","12206","4520"
"38865","7527","3420"
"38870","10627","1000"
"38888","12064","580"
"38889","12064","600"
"38903","12033","510"
"38904","12033","520"
"38915","6434","510"
"38916","6434","520"
