"_id","str_name","str_city_id","str_type","str_gps","str_google_name"
"3","Маркуса","1","ул.","43,030988 44,684106 43,033059 44,6838 43,043292 44,681193 ",""
"4","Ген.Доватора","1","пр-т.","43,046138 44,640734 43,014454 44,662514 43,013089 44,663136 ","Генерала Доватора"
"5","А.Кесаева","1","ул.","43,052944 44,640198 43,039379 44,621444 ","Астана Кесаева"
"6","Весенняя","1","ул.","43,049416 44,620113 43,035898 44,638181 ",""
"7","Владикавказская","1","ул.","43,058572 44,618547 43,042484 44,640284 ",""
"8","Гагкаева","1","ул.","43,054135 44,624298 43,049416 44,62007 ",""
"9","Ген.Дзусова","1","ул.","43,055437 44,634447 43,047314 44,623053 ","Генерала Дзусова"
"10","Калинина","1","ул.","43,044115 44,658523 43,03916 44,645283 43,038768 44,644575 43,036478 44,641507 43,035788 44,638438 ",""
"11","Международная","1","ул.","43,055437 44,634576 43,052175 44,638975 ",""
"12","Морских пехотинцев","1","ул.","43,042908 44,639339 43,035302 44,628739 ",""
"13","Московская","1","ул.","43,008884 44,650562 43,012273 44,650218 43,014015 44,649661 43,020933 44,645863 43,038627 43,038627 43,040352 44,640627 43,046609 44,640691 43,054292 44,640563 43,058055 44,644382 43,05818 44,645197 43,058447 44,655969 43,0584 44,659853 ",""
"14","Цоколаева","1","ул.","43,046562 44,640133 43,037152 44,627109 ",""
"15","Коста","1","пр-т.","43,057083 44,643438 43,051909 44,653759 43,051485 44,654188 43,019349 44,674337 43,018831 44,674873 43,017356 44,67571 43,016729 44,675882 42,98032 44,674809 ",""
"16","Галковского","1","ул.","43,051384 44,645208 43,045637 44,645519 43,045503 44,645659 43,044766 44,646217 43,043386 44,647053 43,040681 44,649092 43,040171 44,648813 43,038344 44,650186 43,03738 44,650755 43,03727 44,65083 43,033239 44,65362 43,032392 44,654328 43,027961 44,657342 ",""
"17","Ген.Хетагурова","1","ул.","43,042312 44,644672 43,027302 44,655304 ","Генерала Хетагурова"
"18","Гугкаева","1","ул.","43,05158 44,653416 43,051407 44,640777 ",""
"19","Дигорская","1","ул.","43,042524 44,652686 43,040524 44,64745 43,040156 44,646367 ",""
"20","З.Калоева","1","ул.","43,011834 44,67483 43,013214 44,674026 43,013293 44,673999 43,014466 44,673409 43,018054 44,671285 43,019184 44,670555 43,022086 44,668828 43,022741 44,668452 43,02953 44,664364 43,031616 44,662943 43,033349 44,661854 43,033427 44,661816 43,035776 44,66018 43,042743 44,65562 43,042998 44,655395 43,04308 43,04308 43,043888 44,654446 43,044707 44,653882 43,045213 44,65363 43,051568 44,653459 ","Калоева"
"21","З.Космодемьянской","1","ул.","43,047644 43,047644 43,045993 44,653925 43,045993 44,6537 43,045864 44,65355 43,045813 44,653448 43,045778 44,652632 43,045762 44,651522 43,045758 44,650481 43,045746 44,650235 43,04568 44,648314 43,045609 44,64818 43,045182 44,647102 43,044794 44,646217 43,044206 44,644688 ","Зои Космодемьянской"
"22","Земнухова","1","ул.","43,045805 44,652675 43,048377 44,652691 43,050012 44,652659 43,051521 44,652573 ",""
"23","К.Кесаева","1","ул.","43,033137 44,66746 43,044523 44,659992 43,044841 44,659907 43,045511 44,65974 43,047863 44,658576 43,047969 44,658571 43,05163 44,658415 ",""
"25","Костанаева","1","ул.","43,051493 44,649151 43,045738 44,649323 43,041763 44,652123 43,041642 44,652531 43,03876 44,654403 43,036415 44,656157 43,034737 44,657321 43,028965 44,661307 ",""
"26","Краснодонская","1","ул.","43,048443 44,653507 43,048263 44,645444 ",""
"27","Л.Шевцовой","1","ул.","43,045778 44,651576 43,048381 44,65157 43,051529 44,651468 ","Любови Шевцовой"
"28","Леваневского","1","ул.","43,054806 44,64767 43,051505 44,647804 43,05 44,647912 43,048342 44,647901 43,045723 44,648062 43,045613 44,648116 43,04183 44,650707 43,041226 44,651297 43,03934 44,652472 43,035937 44,654977 43,03596 44,655132 43,028675 44,660186 ",""
"29","Левченко","1","ул.","43,051446 44,646635 43,045809 44,646834 43,045703 44,646855 43,043696 44,648191 43,043672 44,64826 43,041006 44,650154 43,04065 44,649864 43,03785 44,651989 43,035419 44,653566 43,033717 44,654762 43,032788 44,655502 43,031388 44,656355 43,029294 44,657922 43,028247 44,658651 ",""
"30","Леонова","1","ул.","43,051685 44,656066 43,062037 44,655787 43,062264 44,655749 43,062476 44,655663 43,063401 44,655116 ",""
"31","Малиева","1","ул.","43,041975 44,643508 43,04368 44,648228 43,044053 44,649135 43,044409 44,650229 43,044766 44,651136 ",""
"32","Талалихина","1","ул.","43,049964 44,64538 43,049996 44,648051 43,049984 44,649237 43,050047 44,653464 ",""
"33","Чехова","1","ул.","43,071188 44,669487 43,068594 44,668152 ",""
"34","Щорса","1","ул.","43,0276 44,656388 43,044194 44,644693 ",""
"35","Беслановское","1","ш.","43,112967 44,611187 43,135144 44,593291 43,145133 44,58915 43,147317 44,586226 ",""
"36","Автобусный","1","пер.","43,063205 44,662884 43,062833 44,662927 43,062754 44,663098 43,059341 44,663694 43,058964 44,663758 43,058714 44,663984 43,058474 44,664 ",""
"37","Даргавский","1","пер.","43,067555 44,666451 43,067669 44,66349 43,067653 44,663431 ",""
"38","Левитана","1","пер.","43,066435 44,668162 43,067081 44,668468 43,067602 44,666516 ",""
"39","Невский","1","пер.","43,060336 44,665421 43,060172 44,663587 ",""
"40","Шевченко","1","пер.","43,068304 44,669015 43,06774 44,668736 43,068245 44,666757 ",""
"41","8-го Марта","1","ул.","43,066964 44,676198 43,061798 44,673548 ","8 Марта"
"42","Бзарова","1","ул.","43,070589 44,667905 43,070788 44,660609 ",""
"43","Гвардейская","1","ул.","43,062076 44,672433 43,061536 44,674332 43,061438 44,674498 43,06074 44,675061 43,06054 44,675136 43,05976 44,67519 43,058584 44,675115 43,054653 44,675367 43,049196 44,67549 43,047918 44,675528 43,048741 44,675217 43,049008 44,675383 43,049169 44,675474 ",""
"44","Д.Донского","1","ул.","43,064851 44,668656 43,065655 44,665716 43,065592 44,664729 ","Д. Донского"
"45","К.Маркса","1","ул.","43,019851 44,677024 43,028745 44,671504 43,032451 44,669284 43,033529 44,668688 43,037219 44,666183 43,037689 44,665765 43,041853 44,663002 43,043327 44,661843 ",""
"46","Иристонская","1","ул.","43,085737 44,646807 43,082124 44,651645 43,0806 44,653249 43,07964 44,654038 43,069107 43,069107 43,064984 44,66423 43,062413 44,665014 43,058651 44,6657 43,058239 44,665765 43,046523 44,667884 ",""
"47","Керменистов","1","ул.","43,063777 44,677298 43,061014 44,675984 ",""
"48","Корнеева","1","ул.","43,06074 44,678639 43,060736 44,676134 ",""
"49","Котовского","1","ул.","43,061802 44,667063 43,062394 44,665062 ",""
"50","Крупской","1","ул.","43,064236 44,668318 43,064855 44,665985 43,064945 44,664295 ",""
"51","Крылова","1","ул.","43,070581 44,670485 43,068276 44,669251 ",""
"52","Малгобекская","1","ул.","43,070596 44,666859 43,068954 44,666784 ",""
"53","Матросова","1","ул.","43,066211 44,670609 43,069577 44,672352 ",""
"54","Металлургов","1","ул.","43,065886 44,676976 43,061998 44,675061 ",""
"55","Мичурина","1","ул.","43,066705 44,674777 43,0689 44,667009 43,068939 44,666784 43,069076 44,661849 ",""
"56","Моздокская","1","ул.","43,07062 44,665968 43,068998 44,665888 ",""
"57","Нартовская","1","ул.","43,05974 44,675217 43,059764 44,676075 43,060736 44,676113 43,060846 44,676037 43,060991 44,675973 43,061974 44,675066 43,062088 44,674804 43,062359 44,673838 ",""
"58","Нахимова","1","ул.","43,06895 44,67321 43,065933 44,671644 ",""
"59","Николаева","1","ул.","43,070122 44,671531 43,061814 44,667095 43,061653 44,667041 43,061508 44,667031 43,054523 44,667267 43,05448 44,667347 43,051862 44,667481 ",""
"60","Остаева","1","ул.","43,071713 44,668447 43,07062 44,667932 43,068974 44,666993 43,067606 44,666489 43,06694 44,66629 ",""
"61","П.Морозова","1","ул.","43,066721 44,663259 43,066889 44,663908 43,06692 44,666285 43,066066 44,669305 43,066489 44,669611 43,065212 44,673983 43,064796 44,673827 43,063589 44,678049 ","Павлика Морозова"
"62","Пожарского","1","ул.","43,059074 44,716431 43,058384 44,659917 ",""
"63","Попова","1","ул.","43,062633 44,672577 43,063797 44,66827 ",""
"64","Садонская","1","ул.","43,069064 44,663233 43,074503 44,663447 ",""
"65","Стаханова","1","ул.","43,062602 44,667476 43,063186 44,66555 43,063213 44,665335 43,063233 44,662412 ",""
"66","Студенческая","1","ул.","43,063393 44,667894 43,06404 44,665663 43,064052 44,665534 43,064063 44,66459 ",""
"67","Тельмана","1","ул.","43,083217 44,680935 43,083061 44,681032 43,080087 44,681579 43,079809 44,681552 43,079597 44,681493 43,059764 44,671268 43,059529 44,671183 43,048412 44,67159 43,048443 44,671585 43,048048 44,671671 43,047244 44,671934 ",""
"68","Ушакова","1","ул.","43,068421 44,67416 43,065615 44,672701 ",""
"69","Хазнидонская","1","ул.","43,065043 44,664976 43,066144 44,664375 43,069421 44,662342 43,070714 44,662364 ",""
"70","Чайковского","1","ул.","43,070651 44,664177 43,069045 44,664112 ",""
"71","Черноморская","1","ул.","",""
"72","Черняховского","1","ул.","43,073771 44,665276 43,069013 44,665019 ",""
"73","Керамический","1","пер.","43,058404 44,662235 43,055907 44,662111 43,055766 44,662256 43,055586 44,662852 43,05555 44,663168 43,055488 44,666253 ",""
"74","Керченский","1","пр-д","",""
"75","Рабочий","1","пер.","43,05301 44,671392 43,05294 44,66747 ",""
"76","Транспортный","1","пер.","43,049251 44,667428 43,049333 44,669815 43,049306 44,669858 43,047075 44,670753 ",""
"77","Революции","1","ул.","43,026769 44,683875 43,028604 44,68365 43,03291 44,682963 43,033451 44,682856 43,035078 44,682566 ",""
"78","Белинского","1","ул.","",""
"79","Бутаева","1","ул.","43,051936 44,67541 43,051893 44,671499 ",""
"80","Глинки","1","ул.","43,051395 44,678205 43,051395 44,679176 43,048667 44,679224 ",""
"81","Дзарахохова","1","ул.","43,048906 44,675238 43,048467 44,672899 43,048412 44,672846 43,048357 44,672862 43,047479 44,67321 ",""
"82","Добролюбова","1","ул.","43,054563 44,672411 43,05274 44,672465 ",""
"83","Минина","1","ул.","44,659917 44,675313 43,054492 44,66651 ",""
"84","Молодежная","1","ул.","43,04971 44,675458 43,049655 44,67159 ",""
"85","Огурцова","1","ул.","43,052477 44,666848 43,052422 44,664354 ",""
"86","Севастопольская","1","ул.","43,054574 44,670657 43,05849 44,670523 ",""
"87","Строительная","1","ул.","",""
"88","Таболова","1","ул.","43,05379 44,671365 43,053735 44,667937 ",""
"89","Цаликова","1","ул.","43,050407 44,673774 43,059748 44,673495 44,673495 44,673452 43,059952 43,059952 43,060062 44,673108 43,06045 44,671606 ",""
"90","Чапаева","1","ул.","43,048659 44,679208 43,047224 44,671885 43,047252 44,671746 43,045182 44,661248 43,044868 44,660132 ",""
"91","Гизельское","1","ш.","43,025279 44,643813 43,025326 44,64369 43,025432 44,643255 43,025502 44,642757 43,02531 44,627919 43,027679 44,605951 43,027883 44,602883 43,028981 44,580781 43,028526 44,578335 43,025588 44,572579 43,024851 44,570417 43,024851 44,568733 43,011367 44,569795 42,999767 44,571319 42,997428 44,57237 42,991512 44,573336 42,990099 44,573228 42,988184 44,572392 42,978687 44,571598 42,974181 44,572413 42,968529 44,570203 42,96564 44,568508 42,962453 44,566448 42,953627 44,562585 42,941172 44,559603 42,938077 44,557779 42,936381 44,557135 42,93481 44,554989 42,934527 44,554024 42,933946 44,552908 42,930411 44,54735 42,929437 44,545805 42,92862 44,544926 42,927975 44,543617 42,927756 44,542501 ",""
