"_id","tcat_name","tcat_type","tcat_left","tcat_right","tcat_level"
"1","root","1","0","969","0"
"1486"," 1. Авто-Мото","1","1","42","1"
"1506","1.1. Автосервис, услуги","1","2","31","2"
"1507","Автосервис – диагностика, ремонт, покраска","1","3","4","3"
"1508","Автосервис – колеса, диски, шиномонтаж","1","5","6","3"
"1509","Автосервис – сигнализация и электронное оборудование","1","7","8","3"
"1510","Автосервис – тонировка","1","9","10","3"
"1511","1.2. Продажа","1","32","41","2"
"1512","Автозапчасти и принадлежности – продажа","1","35","36","3"
"1513","Автомобили – продажа","1","37","38","3"
"1514","Автошины – продажа","1","39","40","3"
"1515","Автозаправочные станции","1","11","12","3"
"1516","Автомобили – газобалонное оборудование, продажа, установка","1","13","14","3"
"1517","Автомобили – мойка","1","15","16","3"
"1518","Автомобили специализированные","1","17","18","3"
"1519","Автостоянки","1","19","20","3"
"1520","Автотранспорт – грузовые перевозки","1","21","22","3"
"1521","Автотранспорт – пассажирские перевозки","1","23","24","3"
"1522","Автошколы","1","25","26","3"
"1523","Гаражные кооперативы","1","27","28","3"
"1524","Медицинские комиссии для водителей","1","29","30","3"
"1525","Автомасла, автокраски – продажа","1","33","34","3"
"1526"," 2. Аудио-, видео-, бытовая техника","1","43","58","1"
"1527","2.1. Продажа, прокат","1","44","51","2"
"1528","Аудио-, видеокассеты, компакт-диски, DVD – продажа","1","45","46","3"
"1529","Бытовая техника – продажа","1","47","48","3"
"1530","Кондиционеры – продажа, установка, ремонт","1","49","50","3"
"1531","2.2. Ремонт","1","52","57","2"
"1532","Аудио-, видеоаппаратура – обслуживание, ремонт","1","53","54","3"
"1533","Бытовая техника – ремонт","1","55","56","3"
"1534"," 3. Безопасность","1","59","68","1"
"1535","Автоматика для ворот – установка","1","60","61","2"
"1536","Охранная деятельность и безопасность","1","62","63","2"
"1537","Охранно-пожарные системы – продажа, монтаж","1","64","65","2"
"1538","Спутниковая навигация и мониторинг","1","66","67","2"
"1540"," 4. Власть, политика","1","69","134","1"
"1542","Администрации","1","70","71","2"
"1543","ГАИ","1","72","73","2"
"1544","Глава РСО-А","1","74","75","2"
"1545","Агентства","1","76","77","2"
"1546","Архивы","1","78","79","2"
"1547","Военкоматы, воинские части, комендатуры","1","80","81","2"
"1548","Департаменты","1","82","83","2"
"1549","Дирекции","1","84","85","2"
"1550","Другие официальные органы","1","86","87","2"
"1551","Инспекции","1","88","89","2"
"1552","Комиссии","1","90","91","2"
"1553","Комитеты","1","92","93","2"
"1554","Министерства","1","94","95","2"
"1555","Налоговые службы","1","96","97","2"
"1556","Палаты","1","98","99","2"
"1557","Парламент РСО-А","1","100","101","2"
"1558","Вневедомственная охрана","1","102","103","2"
"1559","ГИБДД","1","104","105","2"
"1560","МВД","1","106","107","2"
"1561","ОВД","1","108","109","2"
"1562","Правительство РСО-А","1","110","111","2"
"1563","Представительства","1","112","113","2"
"1564","Прокуратуры","1","114","115","2"
"1565","Профсоюзы","1","116","117","2"
"1566","Службы","1","118","119","2"
"1567","Суды","1","120","121","2"
"1568","Таможня","1","122","123","2"
"1569","Управления","1","124","125","2"
"1570","Фонды","1","126","127","2"
"1571","Центры","1","128","129","2"
"1572","Миграционные службы","1","130","131","2"
"1573","ОВИР","1","132","133","2"
"1574"," 5. Госучреждения, госпредприятия","1","135","154","1"
"1575","БТИ","1","136","137","2"
"1576","Городской пассажирский транспорт","1","138","139","2"
"1577","ЗАГСы, Дворцы бракосочетания, брачные агентства","1","140","141","2"
"1578","Лицензирование и сертификация товаров и услуг","1","142","143","2"
"1579","Метеорология","1","144","145","2"
"1580","Метрология","1","146","147","2"
"1581","Санитарно-эпидемиологические службы","1","148","149","2"
"1582","Трудоустройство","1","150","151","2"
"1583","Экологические организации – охрана окружающей среды","1","152","153","2"
"1584"," 6. Дети","1","155","198","1"
"1585","6.1. Детские организации","1","156","165","2"
"1586","Детские дома, приемники, приюты","1","157","158","3"
"1587","Детские сады, ясли","1","159","160","3"
"1588","Детские и молодежные организации","1","161","162","3"
